SMILES,SELFIES,Molecular_Weight,LogP,Solubility
Nc1cc[n+](Cc2ccc(Cc3ccc(C[n+]4ccc(N)c5ccccc54)cc3)cc2)c2ccccc12,[N][C][=C][C][=N+1][Branch2][Ring2][=N][C][C][=C][C][=C][Branch2][Ring1][S][C][C][=C][C][=C][Branch2][Ring1][Ring1][C][N+1][=C][C][=C][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][O][C][=C][Ring2][Ring1][C][C][=C][Ring2][Ring1][=Branch2][C][=C][C][=C][C][=C][Ring2][Ring2][Ring2][Ring1][=Branch1],482.6310000000002,5.419800000000004,59.8
COC(=O)/C=C/C(=O)Nc1ccc(CCCCC(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,[C][O][C][=Branch1][C][=O][/C][=C][/C][=Branch1][C][=O][N][C][=C][C][=C][Branch2][Ring2][=C][C][C][C][C][C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][#Branch2][C][=N][C][Branch1][C][N][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][Ring1][#Branch2][=N][Ring1][#C][C][C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][P],576.6540000000002,2.958500000000001,149.20999999999998
COc1cc2nc(N3CCN(C(=O)CCc4ccccc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=Branch2][N][C][C][N][Branch1][#C][C][=Branch1][C][=O][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][S][=N][C][Branch1][C][N][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][O][O][C],421.5010000000002,2.5106,93.81
COc1ccc(/C=C/C(=O)N2CCN(c3nc(N)c4cc(OC)c(OC)cc4n3)CC2)cc1,[C][O][C][=C][C][=C][Branch2][Ring2][N][/C][=C][/C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][#Branch2][C][=N][C][Branch1][C][N][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][Ring1][#Branch2][=N][Ring1][#C][C][C][Ring2][Ring1][Branch1][C][=C][Ring2][Ring1][#C],449.51100000000025,2.599800000000001,103.04
COc1cc2nc(N3CCN(C(=O)/C=C/c4cccc(F)c4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=N][N][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][C][Branch1][C][F][=C][Ring1][#Branch1][C][C][Ring1][P][=N][C][Branch1][C][N][=C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][N][O][C],437.47500000000025,2.7303000000000006,93.81
COc1cc2nc(N3CCN(C(=O)C4CC5C=CC4C5)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][#Branch2][N][C][C][N][Branch1][S][C][=Branch1][C][=O][C][C][C][C][=C][C][Ring1][=Branch1][C][Ring1][Branch1][C][C][Ring1][#C][=N][C][Branch1][C][N][=C][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2][O][C],409.4900000000003,2.09,93.81
C/C=C/C=C/C(=O)N1CCN(c2nc(N)c3cc(OC)c(OC)cc3n2)CC1,[C][/C][=C][/C][=C][/C][=Branch1][C][=O][N][C][C][N][Branch2][Ring1][#Branch2][C][=N][C][Branch1][C][N][=C][C][=C][Branch1][Ring1][O][C][C][Branch1][Ring1][O][C][=C][C][Ring1][#Branch2][=N][Ring1][#C][C][C][Ring2][Ring1][Branch1],383.4520000000002,2.0101,93.81000000000002
COc1cc2nc(N3CCN(C(=O)/C=C/c4ccccc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=Branch2][N][C][C][N][Branch1][#C][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][S][=N][C][Branch1][C][N][=C][Ring2][Ring1][#Branch1][C][=C][Ring2][Ring1][O][O][C],419.48500000000024,2.5912000000000006,93.81
COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(F)cc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=N][N][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][C][C][Ring1][P][=N][C][Branch1][C][N][=C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][N][O][C],437.47500000000025,2.7303000000000006,93.81
COc1cc2nc(N3CCN(C(=O)/C=C/c4ccc(Cl)cc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=N][N][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][/C][=C][/C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][C][C][Ring1][P][=N][C][Branch1][C][N][=C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][N][O][C],453.93000000000023,3.244600000000001,93.81
COc1cc2nc(N3CCN(C(=O)/C(F)=C/c4ccccc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][=N][N][C][C][N][Branch2][Ring1][C][C][=Branch1][C][=O][/C][Branch1][C][F][=C][/C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][P][=N][C][Branch1][C][N][=C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][N][O][C],437.47500000000025,2.8884000000000007,93.81
COc1cc2nc(N3CCN(C(=O)Nc4ccccc4)CC3)nc(N)c2cc1OC,[C][O][C][=C][C][=N][C][Branch2][Ring1][Branch2][N][C][C][N][Branch1][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C][Ring1][#C][=N][C][Branch1][C][N][=C][Ring2][Ring1][=Branch1][C][=C][Ring2][Ring1][#Branch2][O][C],408.4620000000003,2.5833000000000004,105.84
